"outcome","model_id","n","nevent","loglik_null","loglik_fit","aic","concordance","concordance_se","cause_code","cause_level","n_valid_eventcoding","n_events_target"
"cause_specific_icd3_C11","CS_ICD3_C11_M3_ic5",5076,9,-76.3441752496011,-52.6602810045945,173.320562009189,0.970387400850673,0.0142827774331896,"C11","icd3",6542,12
"cause_specific_icd3_C15","CS_ICD3_C15_M3_ic5",5076,8,-67.6302445880225,-28.7166164221184,125.433232844237,0.997260128215359,0.00110871170828262,"C15","icd3",6542,11
"cause_specific_icd3_C16","CS_ICD3_C16_M3_ic5",5076,20,-168.584173303585,-151.351766238658,366.703532477315,0.844186474234835,0.0349272984200949,"C16","icd3",6542,25
"cause_specific_icd3_C18","CS_ICD3_C18_M3_ic5",5076,41,-345.243978215732,-315.06224220006,694.124484400119,0.796368407911303,0.0289656166909526,"C18","icd3",6542,48
"cause_specific_icd3_C20","CS_ICD3_C20_M3_ic5",5076,10,-84.6669392635474,-62.2408406835406,192.481681367081,0.936246689368142,0.0281335365075276,"C20","icd3",6542,13
"cause_specific_icd3_C22","CS_ICD3_C22_M3_ic5",5076,28,-236.437246463904,-209.474438774551,482.948877549103,0.804203743479595,0.0411720969441589,"C22","icd3",6542,39
"cause_specific_icd3_C24","CS_ICD3_C24_M3_ic5",5076,6,-50.8133046805629,-30.1516649454542,128.303329890908,0.975311232340187,0.0172295914622353,"C24","icd3",6542,6
"cause_specific_icd3_C25","CS_ICD3_C25_M3_ic5",5076,11,-91.5942098186837,-74.979673994663,213.959347989326,0.918767566196826,0.0305273220202038,"C25","icd3",6542,14
"cause_specific_icd3_C32","CS_ICD3_C32_M3_ic5",5076,5,-42.2842876217136,-20.1525601664521,108.305120332904,0.99439657002165,0.00286277686789825,"C32","icd3",6542,5
"cause_specific_icd3_C34","CS_ICD3_C34_M3_ic5",5076,94,-793.958494618192,-731.911195390418,1527.82239078084,0.805942542664759,0.0216724981228437,"C34","icd3",6542,121
"cause_specific_icd3_C50","CS_ICD3_C50_M3_ic5",5076,14,-118.20172249776,-103.386655953749,274.773311907497,0.8579858016534,0.0281996740393356,"C50","icd3",6542,18
"cause_specific_icd3_C56","CS_ICD3_C56_M3_ic5",5076,5,-37.8230956653806,-20.3816393840338,108.763278768068,0.980537583504287,0.0145362196953292,"C56","icd3",6542,7
"cause_specific_icd3_C61","CS_ICD3_C61_M3_ic5",5076,8,-67.7192753382529,-26.39442086063,120.78884172126,0.995260538718766,0.00296462919115264,"C61","icd3",6542,9
"cause_specific_icd3_C67","CS_ICD3_C67_M3_ic5",5076,7,-59.1877940997931,-36.9477926459787,137.895585291957,0.977135396107248,0.0131427322393074,"C67","icd3",6542,8
"cause_specific_icd3_C90","CS_ICD3_C90_M3_ic5",5076,8,-67.6185439532843,-53.9860114893792,169.972022978758,0.888225733393728,0.0497076082609361,"C90","icd3",6542,8
"cause_specific_icd3_C92","CS_ICD3_C92_M3_ic5",5076,4,-33.9563476288689,-19.6998457261179,107.399691452236,0.989614929823659,0.00480131497069319,"C92","icd3",6542,6
"cause_specific_icd3_E11","CS_ICD3_E11_M3_ic5",5076,20,-168.860543783132,-113.167673861971,290.335347723941,0.956257934031887,0.0176180858996172,"E11","icd3",6542,24
"cause_specific_icd3_E46","CS_ICD3_E46_M3_ic5",5076,5,-39.9138505165951,-20.1377559031169,108.275511806234,0.990494394792582,0.00447882992551635,"E46","icd3",6542,5
